City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
144,Omboue,-1.5746,9.2618,79.27,80,100,10.04,overcast clouds,GA,5/21/2022 14:51
145,Arraial Do Cabo,-22.9661,-42.0278,73.36,68,40,6.91,overcast clouds,BR,5/21/2022 14:51
146,Padang,-0.9492,100.3543,82.45,89,93,3.04,few clouds,ID,5/21/2022 14:51
147,Sabha,27.0377,14.4283,84.72,5,0,10.33,broken clouds,LY,5/21/2022 14:51
148,Moose Factory,51.2585,-80.6094,37.4,81,100,10.36,light intensity drizzle rain,CA,5/21/2022 14:51
149,Flin Flon,54.7682,-101.865,40.84,56,20,5.75,overcast clouds,CA,5/21/2022 14:51
150,Kondinskoye,59.6481,67.41,46.99,81,100,12.24,clear sky,RU,5/21/2022 14:51
151,Coihaique,-45.5752,-72.0662,38.01,100,100,3.44,shower rain,CL,5/21/2022 14:48
152,Ekhabi,53.5102,142.9671,32.85,99,100,12.66,clear sky,RU,5/21/2022 14:51
153,Esperance,-33.8667,121.9,64.2,63,77,10.89,clear sky,AU,5/21/2022 14:51
154,Ballina,-28.8667,153.5667,59.77,80,100,11.01,overcast clouds,AU,5/21/2022 14:51
155,Bubaque,11.2833,-15.8333,78.85,78,83,12.66,overcast clouds,GW,5/21/2022 14:51
156,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,100,100,4.47,few clouds,RU,5/21/2022 14:51
157,Kenora,49.8167,-94.4337,36.57,87,100,6.91,broken clouds,CA,5/21/2022 14:51
158,Butaritari,3.0707,172.7902,80.46,80,35,11.12,light intensity drizzle rain,KI,5/21/2022 14:50
159,Cherskiy,68.75,161.3,48.38,62,100,10.89,overcast clouds,RU,5/21/2022 14:51
160,Ukiah,39.1502,-123.2078,60.96,66,0,0,clear sky,US,5/21/2022 14:51
161,Vostok,46.4856,135.8833,49.69,98,100,1.63,shower rain,RU,5/21/2022 14:51
162,Saint George,37.1041,-113.5841,61.43,20,0,5.75,clear sky,US,5/21/2022 14:51
163,Sibolga,1.7427,98.7792,77.74,89,68,2.71,clear sky,ID,5/21/2022 14:51
164,Provideniya,64.3833,-173.3,40.95,69,91,11.72,overcast clouds,RU,5/21/2022 14:51
165,Rock Sound,24.9,-76.2,79.65,86,67,14.36,overcast clouds,BS,5/21/2022 14:51
166,Loughton,52.0304,-0.7864,67.55,56,75,9.22,few clouds,GB,5/21/2022 14:51
167,Qaanaaq,77.484,-69.3632,18.7,89,100,3.53,broken clouds,GL,5/21/2022 14:51
168,Khani,41.9563,42.9566,62.17,64,17,3,light intensity drizzle rain,GE,5/21/2022 14:51
169,Altamont,42.2068,-121.7372,45.9,64,0,5.75,overcast clouds,US,5/21/2022 14:51
170,Sulecin,52.4443,15.1168,65.89,62,40,17.29,clear sky,PL,5/21/2022 14:51
171,Puerto Madryn,-42.7692,-65.0385,59.02,44,99,15.17,shower rain,AR,5/21/2022 14:48
172,Honningsvag,70.9821,25.9704,46.15,66,100,12.66,clear sky,NO,5/21/2022 14:51
173,Zverinogolovskoye,54.4586,64.8542,50.25,72,100,14.54,clear sky,RU,5/21/2022 14:51
174,Zhigansk,66.7697,123.3711,39.09,82,98,6.96,overcast clouds,RU,5/21/2022 14:51
175,Gangtok,27.3333,88.6167,59.31,79,40,3.33,overcast clouds,IN,5/21/2022 14:51
176,Monrovia,6.3005,-10.7969,80.37,81,99,11.86,few clouds,LR,5/21/2022 14:51
177,Kade,52.3833,12.2667,65.08,58,63,15.95,broken clouds,DE,5/21/2022 14:51
178,Mar Del Plata,-38.0023,-57.5575,61.95,58,0,8.05,light intensity drizzle rain,AR,5/21/2022 14:48
179,Salalah,17.0151,54.0924,81.99,84,22,8.52,overcast clouds,OM,5/21/2022 14:51
180,San Carlos,9.6612,-68.5827,90.37,45,2,5.1,clear sky,VE,5/21/2022 14:51
181,Arraias,-12.9288,-46.9437,84.11,26,2,3.53,shower rain,BR,5/21/2022 14:51
182,Qingdao,36.0986,120.3719,65.8,82,0,6.71,clear sky,CN,5/21/2022 14:51
183,Tagusao,9.1924,117.8141,81.54,82,100,4.23,clear sky,PH,5/21/2022 14:51
184,Puerto Carreno,6.189,-67.4859,75.18,94,40,3.44,overcast clouds,CO,5/21/2022 14:51
185,Khatanga,71.9667,102.5,38.52,94,100,7.65,overcast clouds,RU,5/21/2022 14:51
186,Marsa Matruh,31.3525,27.2453,68.16,58,0,14.72,few clouds,EG,5/21/2022 14:51
187,Grand Gaube,-20.0064,57.6608,75.6,81,4,4,broken clouds,MU,5/21/2022 14:51
188,Tigzirt,36.8886,4.1198,79.32,54,6,9.1,light intensity drizzle rain,DZ,5/21/2022 14:51
189,Tucurui,-3.7661,-49.6725,73.2,86,100,2.13,overcast clouds,BR,5/21/2022 14:51
190,Yatou,37.15,122.3833,61.11,80,0,9.01,clear sky,CN,5/21/2022 14:51
191,Polyarnyy,69.1989,33.4478,40.84,79,100,17.38,shower rain,RU,5/21/2022 14:51
192,Calderitas,18.55,-88.25,86.47,71,70,16.42,clear sky,MX,5/21/2022 14:51
193,Lebu,-37.6167,-73.65,54.23,82,73,6.89,clear sky,CL,5/21/2022 14:48
194,Dawei,14.0833,98.2,77.68,93,100,8.05,overcast clouds,MM,5/21/2022 14:51
195,Saldanha,-33.0117,17.9442,64.45,70,16,10.69,overcast clouds,ZA,5/21/2022 14:50
196,Doha,25.2867,51.5333,106.11,17,0,17.27,few clouds,QA,5/21/2022 14:51
197,Charlestown,-32.95,151.6667,58.68,97,83,1.99,broken clouds,AU,5/21/2022 14:51
198,Imbituba,-28.24,-48.6703,66.09,77,0,5.01,light intensity drizzle rain,BR,5/21/2022 14:51
199,Townsend,39.3951,-75.6916,90.12,63,7,7.72,overcast clouds,US,5/21/2022 14:51
200,Sorong,-0.8833,131.25,80.11,82,81,4.72,clear sky,ID,5/21/2022 14:51
201,Batemans Bay,-35.7167,150.1833,56.1,82,99,5.39,shower rain,AU,5/21/2022 14:51
202,Mindelo,16.8901,-24.9804,78.35,53,40,14.97,clear sky,CV,5/21/2022 14:48
203,Grand-Lahou,5.1367,-5.0242,81.12,80,100,12.59,clear sky,CI,5/21/2022 14:51
204,Barentu,15.1139,37.5928,98.2,13,98,12.62,overcast clouds,ER,5/21/2022 14:51
205,Talnakh,69.4865,88.3972,45.21,99,100,4.21,overcast clouds,RU,5/21/2022 14:51
206,Mackay,-21.15,149.2,68.16,87,100,16.44,few clouds,AU,5/21/2022 14:48
207,Enshi,30.3,109.4833,66.63,85,100,4.14,broken clouds,CN,5/21/2022 14:51
208,Moerai,-22.4333,-151.3333,76.95,72,2,5.12,light intensity drizzle rain,PF,5/21/2022 14:51
209,Caravelas,-17.7125,-39.2481,77.9,53,0,8.88,overcast clouds,BR,5/21/2022 14:51
210,Mae Sai,20.4335,99.8762,72.37,99,100,1.57,clear sky,TH,5/21/2022 14:51
211,Shimanovsk,52,127.7,47.19,74,20,3.74,shower rain,RU,5/21/2022 14:51
212,Iqaluit,63.7506,-68.5145,33.53,80,100,10.36,clear sky,CA,5/21/2022 14:51
213,Flekkefjord,58.2971,6.6607,55.94,57,15,12.77,clear sky,NO,5/21/2022 14:51
214,Bengkulu,-3.8004,102.2655,78.13,85,99,2.73,overcast clouds,ID,5/21/2022 14:49
215,San Cristobal,7.7669,-72.225,71.78,41,14,9.42,overcast clouds,VE,5/21/2022 14:51
216,Kolpashevo,58.3131,82.9089,48.4,78,87,1.86,few clouds,RU,5/21/2022 14:51
217,Katsuura,35.1333,140.3,60.35,93,100,8.84,broken clouds,JP,5/21/2022 14:51
218,Nador,35.174,-2.9287,80.67,88,100,6.91,light intensity drizzle rain,MA,5/21/2022 14:51
219,Kabinda,-6.1333,24.4833,82.87,50,100,2.46,overcast clouds,CD,5/21/2022 14:51
220,Hirara,24.8,125.2833,76.14,78,36,14.05,clear sky,JP,5/21/2022 14:51
221,Ciudad Guayana,8.3533,-62.6528,91.35,37,75,10.22,shower rain,VE,5/21/2022 14:51
222,Tautira,-17.7333,-149.15,79.05,73,16,11.39,clear sky,PF,5/21/2022 14:51
223,Maketu,-37.7667,176.45,59.05,73,3,14.92,clear sky,NZ,5/21/2022 14:51
224,Carballo,43.213,-8.691,81.82,79,100,2.64,overcast clouds,ES,5/21/2022 14:51
225,San Quintin,30.4833,-115.95,60.26,67,60,6.82,overcast clouds,MX,5/21/2022 14:51
226,Ixtapa,20.7,-105.2,79.23,58,0,1.01,few clouds,MX,5/21/2022 14:52
227,Tiksi,71.6872,128.8694,29.71,89,95,4.25,broken clouds,RU,5/21/2022 14:52
228,Bastia,42.6667,9.3333,84,77,0,8.05,light intensity drizzle rain,FR,5/21/2022 14:52
229,Coquimbo,-29.9533,-71.3436,56.93,71,0,2.3,overcast clouds,CL,5/21/2022 14:52
230,Svetlaya,46.5389,138.3297,46.04,98,100,3.27,clear sky,RU,5/21/2022 14:52
231,Benguela,-12.5763,13.4055,78.85,59,45,5.61,shower rain,AO,5/21/2022 14:47
232,Idrinskoye,54.3708,92.1358,62.53,52,87,2.3,clear sky,RU,5/21/2022 14:52
233,Harlingen,26.1906,-97.6961,86.09,100,22,18.66,clear sky,US,5/21/2022 14:52
234,Trincomalee,8.5711,81.2335,83.53,73,25,20.47,overcast clouds,LK,5/21/2022 14:52
235,Kiboga,0.9161,31.7742,70.77,72,100,4.21,overcast clouds,UG,5/21/2022 14:52
236,Caraballeda,10.6112,-66.8522,89.85,54,17,12.68,few clouds,VE,5/21/2022 14:52
237,Ilhabela,-23.7781,-45.3581,69.94,64,0,3.94,broken clouds,BR,5/21/2022 14:52
238,Porbandar,21.6422,69.6093,83.32,82,3,20.09,light intensity drizzle rain,IN,5/21/2022 14:52
239,Garhakota,23.7667,79.15,98.62,14,2,8.9,overcast clouds,IN,5/21/2022 14:52
240,Dudinka,69.4058,86.1778,45.63,99,100,5.06,clear sky,RU,5/21/2022 14:52
241,Lagos,6.5833,3.75,77.32,73,100,7.36,shower rain,NG,5/21/2022 14:49
242,Acarau,-2.8856,-40.12,84.4,67,14,7.2,clear sky,BR,5/21/2022 14:52
243,Bara,10.3744,10.7288,94.78,23,75,8.93,clear sky,NG,5/21/2022 14:50
244,Taywarah,33.35,64.4167,58.8,18,0,11.3,overcast clouds,AF,5/21/2022 14:52
245,Mancio Lima,-7.6142,-72.8958,78.87,78,0,2.3,overcast clouds,BR,5/21/2022 14:52
246,Sorland,67.667,12.6934,46.26,88,46,8.61,few clouds,NO,5/21/2022 14:52
247,Fortuna,40.5982,-124.1573,48.92,90,100,4.61,broken clouds,US,5/21/2022 14:52
248,Aklavik,68.2191,-135.0107,32,93,100,10.36,light intensity drizzle rain,CA,5/21/2022 14:52
249,Orotukan,62.2667,151.7,31.8,94,88,5.35,overcast clouds,RU,5/21/2022 14:52
250,Asyut,27.181,31.1837,86.85,15,100,16.58,clear sky,EG,5/21/2022 14:52
251,Anloga,5.7947,0.8973,82.24,75,98,14.07,shower rain,GH,5/21/2022 14:52
252,Coahuayana,18.7333,-103.6833,82.45,59,6,3.47,clear sky,MX,5/21/2022 14:52
253,Serebryansk,49.6925,83.2892,65.61,52,82,1.57,clear sky,KZ,5/21/2022 14:52
254,Agaro,7.85,36.65,75,56,97,6.82,overcast clouds,ET,5/21/2022 14:52
255,Villa Corzo,16.1667,-93.25,80.78,52,100,3.67,overcast clouds,MX,5/21/2022 14:52
256,Kaitangata,-46.2817,169.8464,44.98,92,99,13.49,few clouds,NZ,5/21/2022 14:52
257,Berlevag,70.8578,29.0864,42.75,70,100,10.36,broken clouds,NO,5/21/2022 14:50
258,Pinheiro Machado,-31.5783,-53.3811,57.09,58,14,5.7,light intensity drizzle rain,BR,5/21/2022 14:52
259,Louis Trichardt,-23.0439,29.9032,66.07,54,85,5.17,overcast clouds,ZA,5/21/2022 14:52
260,Dossor,47.5272,52.9811,58.51,28,58,20.94,clear sky,KZ,5/21/2022 14:52
261,Hualmay,-11.0964,-77.6139,67.91,78,42,8.59,shower rain,PE,5/21/2022 14:52
262,Ray,23.6833,85.05,94.69,19,77,2.73,clear sky,IN,5/21/2022 14:52
263,Along,28.1667,94.7667,70.39,95,100,1.88,clear sky,IN,5/21/2022 14:52
